razao_social;UF;valor_total_despesas;media_despesas_trimestre;desvio_padrao_despesas;qtd_lancamentos
346659 (Nome não consta no CSV);Indefinido;615084349083.59;367214536.77;1068167434.34;1675
339954 (Nome não consta no CSV);Indefinido;120697635812.33;48747025.77;135382155.33;2476
335100 (Nome não consta no CSV);Indefinido;118825991765.65;25292888.84;107886394.95;4698
335614 (Nome não consta no CSV);Indefinido;114983628944.24;69225544.22;216755510.31;1661
371254 (Nome não consta no CSV);Indefinido;86409028058.38;18428029.02;76588712.02;4689
334561 (Nome não consta no CSV);Indefinido;64092904011.23;20174033.37;73639555.63;3177
417505 (Nome não consta no CSV);Indefinido;50547869585.98;41162760.25;115201152.62;1228
337668 (Nome não consta no CSV);Indefinido;49838625804.9;10470299.54;48767673.25;4760
353353 (Nome não consta no CSV);Indefinido;49662550349.17;21800943.96;68067959.0;2278
302953 (Nome não consta no CSV);Indefinido;47160392622.22;13031332.58;46155811.58;3619
317632 (Nome não consta no CSV);Indefinido;28727129345.7;20504731.87;57688716.47;1401
311359 (Nome não consta no CSV);Indefinido;24283261460.84;20790463.58;49757565.22;1168
336858 (Nome não consta no CSV);Indefinido;24033096973.72;12900213.08;223348721.2;1863
357260 (Nome não consta no CSV);Indefinido;21177318096.7;8052212.2;24673932.02;2630
344362 (Nome não consta no CSV);Indefinido;18912334507.73;12146650.29;33858793.66;1557
352543 (Nome não consta no CSV);Indefinido;14878409125.54;4313832.74;17026840.79;3449
313211 (Nome não consta no CSV);Indefinido;13954908967.03;5408879.44;15785664.5;2580
515 (Nome não consta no CSV);Indefinido;13810158213.25;13304584.02;37083443.36;1038
409243 (Nome não consta no CSV);Indefinido;11276617569.44;10853337.41;30406420.97;1039
361615 (Nome não consta no CSV);Indefinido;9615168358.41;4839037.93;14515032.93;1987
312592 (Nome não consta no CSV);Indefinido;9545369185.25;4772684.59;14225572.48;2000
345091 (Nome não consta no CSV);Indefinido;8600784926.2;5328863.03;13791123.36;1614
418072 (Nome não consta no CSV);Indefinido;8025098764.21;8333435.89;29633994.06;963
303178 (Nome não consta no CSV);Indefinido;7928842900.08;5724796.32;13723052.32;1385
424129 (Nome não consta no CSV);Indefinido;7285744544.48;30741538.16;43600664.68;237
417424 (Nome não consta no CSV);Indefinido;6925184784.64;7183801.64;16080729.72;964
324175 (Nome não consta no CSV);Indefinido;6853496331.89;3376106.57;9492828.45;2030
354325 (Nome não consta no CSV);Indefinido;6653084056.48;3168135.26;9990599.06;2100
